year,lung cancer,breast cancer,colorectal cancer,prostate cancer,skin cancer,testicular cancer,cancer
year,target,target,target,target,target,target,comparison
1969,140,244,1,6,26,1,2357
1970,122,209,2,2,27,3,2394
1971,154,250,3,1,23,1,2443
1972,125,258,6,3,24,4,2373
1973,147,257,7,7,15,5,2145
1974,140,356,13,7,23,1,2498
1975,217,573,35,4,37,3,3654
1976,250,630,46,11,39,11,3917
1977,278,811,50,31,34,14,4358
1978,306,787,82,30,46,10,4674
1979,381,774,99,33,43,38,5196
1980,421,925,99,44,41,52,5595
1981,465,975,136,74,71,47,5989
1982,546,973,149,51,48,43,6369
1983,571,1127,188,92,46,74,7298
1984,683,1341,191,102,59,70,8178
1985,858,1386,271,123,64,96,8735
1986,904,1461,332,115,65,85,9320
1987,972,1517,350,175,78,101,9944
1988,1073,1759,420,244,81,88,10925
1989,1230,2134,461,248,130,111,12855
1990,1348,2320,486,313,126,134,13442
1991,1267,2186,546,395,152,102,13272
1992,1422,2692,660,525,146,104,14641
1993,1492,2695,717,748,152,122,15469
1994,1772,3140,810,947,181,135,17309
1995,1716,3234,949,1095,246,116,18170
1996,1887,3633,1076,1268,224,136,19831
1997,2001,3894,1104,1566,246,114,21206
1998,1966,4213,1261,1625,254,130,22515
1999,2146,4567,1457,1851,299,141,24656
2000,2426,5049,1569,2174,299,129,27297
2001,2588,5160,1691,2274,333,117,28741
2002,2794,5483,1908,2479,365,122,31173
2003,3082,5978,2044,3035,350,164,34483
2004,3398,6659,2307,3335,448,160,38399
2005,3735,7380,2703,3690,497,181,43160
2006,4078,8135,2872,3953,503,165,46944
2007,4416,8673,3259,4670,558,212,51924
2008,4612,9650,3408,4857,600,192,56464
2009,5181,10016,3827,5064,722,212,60983
2010,5824,11646,4380,5633,771,203,69184
2011,6576,12919,4838,6435,894,236,77971
2012,7653,14195,5497,7033,1046,205,87802
2013,8519,15047,6026,7412,1074,230,95425
2014,9486,16149,6780,7883,1232,250,104342
2015,10570,17080,7321,8055,1198,300,111959
2016,10902,17606,7448,8420,1296,281,116462
2017,11810,18229,7879,8593,1405,275,122471
2018,12717,18884,8383,8491,1439,294,128563